wwwww == 0.96570700 1365662178
wwwww == 0.96681100 1365662179
wwwww == 0.96865900 1365662180
wwwww == 0.97050200 1365662181
wwwww == 0.97238100 1365662182
wwwww == 0.98222500 1365662183
wwwww == 0.98404100 1365662184
wwwww == 0.98589300 1365662185
wwwww == 0.98774100 1365662186
wwwww == 0.98958400 1365662187
in bbbbbb == 0.99318600 1365662188
wwwww == 0.19307800 1365662232
wwwww == 0.19472000 1365662233
wwwww == 0.19656500 1365662234
wwwww == 0.19844800 1365662235
wwwww == 0.20026000 1365662236
wwwww == 0.20211500 1365662237
wwwww == 0.20395700 1365662238
wwwww == 0.20580900 1365662239
wwwww == 0.20769700 1365662240
wwwww == 0.20949800 1365662241
in bbbbbb == 0.21270700 1365662242
